DW_LOCALIDADE;country;state;city;region_name
2feafdbd242b4e62ad7ea528e262e34cff5d395ca6f04bb63c29478155daa312;US;TX;Longview;Southern
e8849a0a9b41b61bd7f97ae437c0125bac43b2a288e8549f3c240b8458752cd1;US;MS;Meridian;Southern
4d6ae5094ead02b52d123dbf1a54ab5c90e5e796b9dc131b8ba6b88e33d85b32;US;PA;Mechanicsburg;Northeast
b6bd171f93d06202458b8ab9f631ed071e7952f1e4c9687b9846c36250b7fcc2;US;CA;San Diego;Western
d519bcc8a3040c03e74515e620803d4bfd6932cf53531d96b30bc52a0d51052e;CA;NB;Moncton;Canada
ac3ba86358910248aeb55ff7f94600e34f40af20e866259416a614bf863f2e7b;US;TX;Cleveland;Southern
adf358b1a9e61466fb14a66b06d00025888f93b6dbea5a734d86ea64cb6cb57a;US;AL;Montgomery;Southern
c0fa68d1988445d8568c2689ff949eb3683f1a3b7363efdd4ae81083f32a4155;CA;SK;Saskatoon;Canada
5c8f3d50ad47fdb8c132135aa716aeac99b27a2ff5ac5d7fc532e43836b5d13f;CA;ON;Toronto;Canada
2cc2f220d7d41bf6b39b923abda97fd5f0f41e58f5f3dd65e189f3cdec0d8799;US;WY;Casper;Western
657c28b51fd0416fc8dea258abb47c9493e778443d4835405c2bc6d602c5d203;US;GA;Atlanta;Southern
84ac66298ef44c836959e7fb7a05217732db3372bcf26a4a9189bf118e4334d3;US;LA;Calhoun;Southern
67ae127904e181ec5baa65c6fd82093cea93088c8fd3f521f3e9d2bd59df814b;US;IL;Bensonville;Central
efa1f96f9b410b94b0c25b865bb7f23325aa4c2604cb999e4c08323bda935b4e;US;MI;Cass City;Central
147a3cbb2d52d6c965ec5a1bd4990b368dd17b13b4c7ac8f22aea4b10de97bd8;UK;Não Informado;1980 Santiago;International
2b6c938adda2b50ad9b5c2cb3dbb4daf1e7494bfa19cb595dcd80559a83cbeb7;US;WA;Enumclaw;Western
94cd8f8c4aa1911a80bf26220f145bb02a067fc93c465633160d7eb770ff037d;US;CA;Gardena;Western
78b90ae779d244f5ef304b44a72da330053295923e2595bc5465287e7163b23e;US;TN;Smyrna;Southern
3ce4928da348500fcaf43a0b44e89c6a199178f695ff30272c88846697a8d3ca;US;AZ;Tuscon;Western
b46cd4d050a59ca348dbb9a479f1b52ee421c2505f4592a6eda8d5d1854d1ab5;US;SD;Rapid City;Central
62ff1e1c3e8611b0a56286decceac3dc0e8f58d8699ed063bdb0de62cbb0dd8d;US;AR;Fort Smith;Southern
ede70659fe78c50dcfc26bc48d4a2098963db72116896af098dc2157d6838dce;US;FL;Ocala;Southern
7c52a393c6e154fab60dc3f7e7ad045ceee4530cb89ae10b8be7b805aa96f718;US;MT;Libby;Western
8cd67fa3cceafecfbb5065933860b9f44a8c0e6ea69fb7976366715d7bbed01f;US;TN;Goodlettsville;Southern
bacca99d0e7fcdb86804941ed127c7164edc5ef8462c05875976d494a4018f69;US;AL;Mobile;Southern
404a4762fd417c5228f7079f11a83a13bc5499985051d57a3d2a86bf241efecd;US;RI;East Providence;Northeast
76fb3c0454e77e1d1dc606b6f913f6e967bcf7fa562bf83a562806c890333dc4;US;MI;Southfield;Central
0e0e418121e6704f58f9854d1d1628f2cbdbb0a7732cf0bcf164f9b785f3a738;UK;Não Informado;Asuncion;International
b4786b68a8c4437e0a0d491f4c94102ed7367c20204789f55b4299bc7f480964;US;WA;Spokane;Western
e7d9522e6d0db91abf3c8233408d2b1ca3fcc57707da3fbc5b9156be09e3511e;US;WI;Appleton;Central
31fbcc5c3b078973361de288d531076e5a1d2ea89745ffd35cb8febb416a3c16;US;OR;Tigard;Western
f128775c4cc6cd1eae4c934a030ef692adcd0537fcb339a18c406ea5361d542e;UK;Não Informado;Sao Paulo;International
